product_id,product_name,product_price,reviews,created_by,Environmental Impact,Labor Rights,Animal Welfare,Corporate Governance
EL100000,Electronics And 0,687.65,"Exceeded my expectations, fantastic product. | Build quality feels cheap. | Display is sharp and vibrant. | Battery life is excellent and long-lasting. | Very easy to set up and operate. | Compact design and very lightweight. | Overheats quickly after continuous use. | Poor sound quality, not satisfied. | Connectivity issues with Wi-Fi and Bluetooth. | Stopped working after a few weeks. | Performance is smooth and fast. | Great value for the price, highly recommend.",Stevens Inc,58,35,23,73
EL100001,Electronics Like 1,252.02,"Connectivity issues with Wi-Fi and Bluetooth. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Build quality feels cheap. | Very easy to set up and operate. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting. | Display is sharp and vibrant.",Smith-Fisher,24,31,49,24
EL100002,Electronics Street 2,85.32,"Stopped working after a few weeks. | Performance is smooth and fast. | Overheats quickly after continuous use. | Compact design and very lightweight. | Battery life is excellent and long-lasting. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Poor sound quality, not satisfied. | Very easy to set up and operate. | Display is sharp and vibrant. | Connectivity issues with Wi-Fi and Bluetooth.",Miller-Jones,25,27,65,28
EL100003,Electronics Space 3,796.24,"Great value for the price, highly recommend. | Display is sharp and vibrant. | Performance is smooth and fast. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Poor sound quality, not satisfied. | Battery life is excellent and long-lasting. | Stopped working after a few weeks. | Connectivity issues with Wi-Fi and Bluetooth. | Very easy to set up and operate.",Smith-Everett,33,40,46,53
EL100004,Electronics Until 4,643.58,"Display is sharp and vibrant. | Connectivity issues with Wi-Fi and Bluetooth. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Very easy to set up and operate. | Great value for the price, highly recommend. | Build quality feels cheap. | Compact design and very lightweight. | Battery life is excellent and long-lasting. | Performance is smooth and fast. | Stopped working after a few weeks. | Poor sound quality, not satisfied.",Sloan-Nguyen,89,67,64,55
EL100005,Electronics Then 5,709.36,"Compact design and very lightweight. | Exceeded my expectations, fantastic product. | Connectivity issues with Wi-Fi and Bluetooth. | Display is sharp and vibrant. | Great value for the price, highly recommend. | Very easy to set up and operate. | Build quality feels cheap. | Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Battery life is excellent and long-lasting.","Krause, Johnston and Campbell",97,27,56,39
EL100006,Electronics Face 6,654.7,"Performance is smooth and fast. | Overheats quickly after continuous use. | Build quality feels cheap. | Stopped working after a few weeks. | Very easy to set up and operate. | Display is sharp and vibrant. | Connectivity issues with Wi-Fi and Bluetooth. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Exceeded my expectations, fantastic product.",Allen LLC,31,47,28,100
EL100007,Electronics Brother 7,567.88,"Battery life is excellent and long-lasting. | Great value for the price, highly recommend. | Very easy to set up and operate. | Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Performance is smooth and fast. | Stopped working after a few weeks. | Display is sharp and vibrant. | Build quality feels cheap. | Exceeded my expectations, fantastic product.","Silva, Rodriguez and Duncan",81,99,80,82
EL100008,Electronics Their 8,66.87,"Connectivity issues with Wi-Fi and Bluetooth. | Great value for the price, highly recommend. | Compact design and very lightweight. | Exceeded my expectations, fantastic product. | Very easy to set up and operate. | Poor sound quality, not satisfied. | Display is sharp and vibrant. | Battery life is excellent and long-lasting. | Build quality feels cheap. | Performance is smooth and fast. | Overheats quickly after continuous use. | Stopped working after a few weeks.","Dunn, Johnson and Travis",46,29,54,86
EL100009,Electronics Employee 9,256.2,"Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Build quality feels cheap. | Display is sharp and vibrant. | Performance is smooth and fast. | Stopped working after a few weeks. | Poor sound quality, not satisfied. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Great value for the price, highly recommend.",Gordon PLC,73,71,66,49
